,x,y,z
0,0.5,0,0
1,0.535084,0,0
2,0.57263,0,0
3,0.535845,0,0
4,0.501424,0,0
5,0.536608,0,0
6,0.57426,0,0
7,0.614555,0,0
8,0.575077,0,0
9,0.61543,0,0
10,0.658613,0,0
11,0.704827,0,0
12,0.65955,0,0
13,0.70583,0,0
14,0.755357,0,0
15,0.808359,0,0
16,0.86508,0,0
17,0.925781,0,0
18,0.990742,0,0
19,0.927098,0,0
20,0.867543,0,0
21,0.811813,0,0
22,0.759664,0,0
23,0.812968,0,0
24,0.870013,0,0
25,0.93106,0,0
26,0.871251,0,0
27,0.815283,0,0
28,0.76291,0,0
29,0.713902,0,0
30,0.763996,0,0
31,0.817604,0,0
32,0.765082,0,0
33,0.818767,0,0
34,0.766171,0,0
35,0.716953,0,0
36,0.670897,0,0
37,0.717973,0,0
38,0.768352,0,0
39,0.822266,0,0
40,0.879963,0,0
41,0.941709,0,0
42,0.881215,0,0
43,0.824607,0,0
44,0.771636,0,0
45,0.82578,0,0
46,0.772733,0,0
47,0.723094,0,0
48,0.676644,0,0
49,0.724123,0,0
50,0.774933,0,0
51,0.829309,0,0
52,0.776036,0,0
53,0.830489,0,0
54,0.888763,0,0
55,0.83167,0,0
56,0.778245,0,0
57,0.728252,0,0
58,0.779352,0,0
59,0.729288,0,0
60,0.682439,0,0
61,0.638601,0,0
62,0.597578,0,0
63,0.639509,0,0
64,0.684382,0,0
65,0.640419,0,0
66,0.599279,0,0
67,0.560783,0,0
68,0.524759,0,0
69,0.491049,0,0
70,0.525505,0,0
71,0.562379,0,0
72,0.60184,0,0
73,0.644071,0,0
74,0.689264,0,0
75,0.737628,0,0
76,0.789387,0,0
77,0.844777,0,0
78,0.904053,0,0
79,0.845978,0,0
80,0.905339,0,0
81,0.847182,0,0
82,0.906627,0,0
83,0.848387,0,0
84,0.793888,0,0
85,0.849594,0,0
86,0.909208,0,0
87,0.850802,0,0
88,0.910502,0,0
89,0.97439,0,0
90,0.911797,0,0
91,0.853225,0,0
92,0.913094,0,0
93,0.977164,0,0
94,0.95427,0,0
95,0.978554,0,0
96,0.952782,0,0
97,0.879301,0,0
98,0.951292,0,0
99,0.877706,0,0
100,0.798957,0,0
101,0.87611,0,0
102,0.948307,0,0
103,0.984134,0,0
104,0.920915,0,0
105,0.861757,0,0
106,0.922225,0,0
107,0.862983,0,0
108,0.807546,0,0
109,0.86421,0,0
110,0.924851,0,0
111,0.989746,0,0
112,0.940805,0,0
