,x,y,z
0,0.5,0,0
1,0.511585,0,0
2,0.503178,0,0
3,0.514837,0,0
4,0.506377,0,0
5,0.498056,0,0
6,0.509596,0,0
7,0.501223,0,0
8,0.492986,0,0
9,0.504409,0,0
10,0.49612,0,0
11,0.507615,0,0
12,0.519376,0,0
13,0.510842,0,0
14,0.522678,0,0
15,0.51409,0,0
16,0.505642,0,0
17,0.497333,0,0
18,0.489161,0,0
19,0.500495,0,0
20,0.512091,0,0
21,0.503677,0,0
22,0.515347,0,0
23,0.527287,0,0
24,0.539504,0,0
25,0.552004,0,0
26,0.542933,0,0
27,0.534012,0,0
28,0.525237,0,0
29,0.537407,0,0
30,0.528576,0,0
31,0.540823,0,0
32,0.531936,0,0
33,0.544261,0,0
34,0.556871,0,0
35,0.547721,0,0
36,0.560411,0,0
37,0.573396,0,0
38,0.563974,0,0
39,0.577041,0,0
40,0.590411,0,0
41,0.60409,0,0
42,0.594164,0,0
43,0.584401,0,0
44,0.574798,0,0
45,0.588116,0,0
46,0.578452,0,0
47,0.568947,0,0
48,0.559598,0,0
49,0.572563,0,0
50,0.563155,0,0
51,0.576203,0,0
52,0.566735,0,0
53,0.579866,0,0
54,0.593301,0,0
55,0.607048,0,0
56,0.621113,0,0
57,0.635504,0,0
58,0.650228,0,0
59,0.665294,0,0
60,0.680708,0,0
61,0.69648,0,0
62,0.685036,0,0
63,0.700908,0,0
64,0.717147,0,0
65,0.705363,0,0
66,0.693773,0,0
67,0.709847,0,0
68,0.726294,0,0
69,0.71436,0,0
70,0.730911,0,0
71,0.747846,0,0
72,0.765173,0,0
73,0.782902,0,0
74,0.801041,0,0
75,0.787879,0,0
76,0.806134,0,0
77,0.824811,0,0
78,0.811258,0,0
79,0.830055,0,0
80,0.849287,0,0
81,0.835331,0,0
82,0.854686,0,0
83,0.840642,0,0
84,0.826828,0,0
85,0.845985,0,0
86,0.832084,0,0
87,0.851363,0,0
88,0.871089,0,0
89,0.891272,0,0
90,0.911922,0,0
91,0.896938,0,0
92,0.882199,0,0
93,0.867703,0,0
94,0.887807,0,0
95,0.873219,0,0
96,0.893451,0,0
97,0.87877,0,0
98,0.899131,0,0
99,0.919963,0,0
100,0.941278,0,0
101,0.963087,0,0
102,0.985402,0,0
103,0.96921,0,0
104,0.991666,0,0
105,0.985358,0,0
106,0.99797,0,0
107,0.978908,0,0
108,0.955249,0,0
109,0.931043,0,0
110,0.906276,0,0
111,0.924248,0,0
112,0.941924,0,0
113,0.959311,0,0
114,0.935198,0,0
115,0.910527,0,0
116,0.885284,0,0
117,0.903601,0,0
118,0.878198,0,0
119,0.896632,0,0
