,x,y,z
0,0.5,0,0
1,0.520972,0,0
2,0.542425,0,0
3,0.564869,0,0
4,0.558245,0,0
5,0.536256,0,0
6,0.515654,0,0
7,0.50791,0,0
8,0.528941,0,0
9,0.550911,0,0
10,0.573418,0,0
11,0.597445,0,0
12,0.607719,0,0
13,0.584121,0,0
14,0.589954,0,0
15,0.614076,0,0
16,0.639794,0,0
17,0.666098,0,0
18,0.693723,0,0
19,0.688641,0,0
20,0.661576,0,0
21,0.685144,0,0
22,0.713298,0,0
23,0.742903,0,0
24,0.773712,0,0
25,0.805395,0,0
26,0.839092,0,0
27,0.873554,0,0
28,0.909838,0,0
29,0.947551,0,0
30,0.986382,0,0
31,0.95697,0,0
32,0.919451,0,0
33,0.883851,0,0
34,0.84949,0,0
35,0.816177,0,0
36,0.784724,0,0
37,0.765912,0,0
38,0.797776,0,0
39,0.830809,0,0
40,0.864908,0,0
41,0.901042,0,0
42,0.924718,0,0
43,0.888967,0,0
44,0.854373,0,0
45,0.820918,0,0
46,0.789249,0,0
47,0.758262,0,0
48,0.728966,0,0
49,0.728448,0,0
50,0.758392,0,0
51,0.790044,0,0
52,0.81321,0,0
53,0.781814,0,0
54,0.78007,0,0
55,0.812161,0,0
56,0.793799,0,0
57,0.762604,0,0
58,0.733183,0,0
59,0.70461,0,0
60,0.677079,0,0
61,0.692718,0,0
62,0.721061,0,0
63,0.751175,0,0
64,0.782198,0,0
65,0.814426,0,0
66,0.848365,0,0
67,0.883057,0,0
68,0.919966,0,0
69,0.92685,0,0
70,0.890689,0,0
71,0.856242,0,0
72,0.822545,0,0
73,0.790881,0,0
74,0.78433,0,0
75,0.816695,0,0
76,0.802971,0,0
77,0.771356,0,0
78,0.741684,0,0
79,0.712724,0,0
80,0.684958,0,0
81,0.696527,0,0
82,0.724964,0,0
83,0.755336,0,0
84,0.786465,0,0
85,0.818969,0,0
86,0.807595,0,0
87,0.776328,0,0
88,0.808878,0,0
89,0.842195,0,0
90,0.877029,0,0
91,0.866131,0,0
92,0.832003,0,0
93,0.800046,0,0
94,0.768761,0,0
95,0.738877,0,0
96,0.747937,0,0
97,0.778483,0,0
98,0.750277,0,0
99,0.720925,0,0
100,0.69292,0,0
101,0.666042,0,0
102,0.639837,0,0
103,0.615236,0,0
104,0.604594,0,0
105,0.629659,0,0
106,0.655791,0,0
107,0.682615,0,0
108,0.659834,0,0
109,0.633995,0,0
110,0.609403,0,0
111,0.585741,0,0
112,0.56273,0,0
113,0.541071,0,0
114,0.519873,0,0
115,0.499722,0,0
116,0.502781,0,0
117,0.523377,0,0
118,0.54527,0,0
119,0.567658,0,0
120,0.591246,0,0
121,0.615746,0,0
122,0.64099,0,0
123,0.667789,0,0
124,0.695192,0,0
125,0.724103,0,0
126,0.754093,0,0
127,0.785032,0,0
128,0.817837,0,0
129,0.85138,0,0
130,0.886813,0,0
131,0.886229,0,0
132,0.851514,0,0
133,0.875804,0,0
134,0.899511,0,0
135,0.864747,0,0
136,0.864762,0,0
137,0.900296,0,0
138,0.878016,0,0
139,0.843535,0,0
140,0.810958,0,0
141,0.809739,0,0
