,x,y,z
0,0.5,0,0
1,0.510294,0,0
2,0.520589,0,0
3,0.530883,0,0
4,0.541521,0,0
5,0.552567,0,0
6,0.563612,0,0
7,0.574658,0,0
8,0.564222,0,0
9,0.551789,0,0
10,0.539357,0,0
11,0.527279,0,0
12,0.515798,0,0
13,0.504317,0,0
14,0.492837,0,0
15,0.499272,0,0
16,0.509378,0,0
17,0.519485,0,0
18,0.523418,0,0
19,0.512042,0,0
20,0.500666,0,0
21,0.48929,0,0
22,0.493847,0,0
23,0.503861,0,0
24,0.513875,0,0
25,0.519582,0,0
26,0.50831,0,0
27,0.497039,0,0
28,0.485767,0,0
29,0.475064,0,0
30,0.464655,0,0
31,0.454246,0,0
32,0.44393,0,0
33,0.434317,0,0
34,0.424705,0,0
35,0.415092,0,0
36,0.415869,0,0
37,0.424331,0,0
38,0.432793,0,0
39,0.441275,0,0
40,0.450355,0,0
41,0.459434,0,0
42,0.468513,0,0
43,0.468141,0,0
44,0.457922,0,0
45,0.447702,0,0
46,0.437483,0,0
47,0.428004,0,0
48,0.418566,0,0
49,0.409129,0,0
50,0.406874,0,0
51,0.415181,0,0
52,0.423489,0,0
53,0.431797,0,0
54,0.440628,0,0
55,0.449541,0,0
56,0.458455,0,0
57,0.467577,0,0
58,0.477141,0,0
59,0.486705,0,0
60,0.496269,0,0
61,0.490034,0,0
62,0.479269,0,0
63,0.468504,0,0
64,0.457932,0,0
65,0.447991,0,0
66,0.43805,0,0
67,0.428108,0,0
68,0.431105,0,0
69,0.439857,0,0
70,0.448608,0,0
71,0.454576,0,0
72,0.444726,0,0
73,0.434875,0,0
74,0.425025,0,0
75,0.434642,0,0
76,0.456857,0,0
77,0.479071,0,0
78,0.507524,0,0
79,0.626322,0,0
80,0.745119,0,0
81,0.863916,0,0
82,0.886792,0,0
83,0.821859,0,0
84,0.756926,0,0
85,0.691993,0,0
86,0.767135,0,0
87,0.845199,0,0
88,0.923264,0,0
89,0.927794,0,0
90,0.837603,0,0
91,0.747412,0,0
92,0.65722,0,0
93,0.55791,0,0
94,0.457524,0,0
95,0.357139,0,0
96,0.266674,0,0
97,0.194474,0,0
98,0.122274,0,0
99,0.050073,0,0
100,0.085781,0,0
101,0.146885,0,0
102,0.207989,0,0
103,0.276156,0,0
104,0.363717,0,0
105,0.451277,0,0
106,0.538837,0,0
107,0.631024,0,0
108,0.724971,0,0
109,0.818918,0,0
110,0.888141,0,0
111,0.846185,0,0
112,0.804228,0,0
113,0.762272,0,0
114,0.765877,0,0
115,0.795176,0,0
116,0.824476,0,0
117,0.849413,0,0
118,0.833694,0,0
119,0.817975,0,0
120,0.802256,0,0
