,x,y,z
0,0.461804,0,0
1,0.614011,0,0
2,0.678531,0,0
3,0.708794,0,0
4,0.788687,0,0
5,0.767388,0,0
6,0.836916,0,0
7,0.926232,0,0
8,0.97136,0,0
9,0.996936,0,0
10,0.978931,0,0
11,0.942766,0,0
12,0.997557,0,0
13,0.944953,0,0
14,0.877303,0,0
15,0.795094,0,0
16,0.798261,0,0
17,0.728312,0,0
18,0.65855,0,0
19,0.608263,0,0
20,0.526257,0,0
21,0.387362,0,0
22,0.350437,0,0
23,0.22515,0,0
24,0.312327,0,0
25,0.113168,0,0
26,0.031702,0,0
27,0.039593,0,0
28,0.082786,0,0
29,0.025955,0,0
30,0.04567,0,0
31,0.043361,0,0
32,0.062019,0,0
33,0.088097,0,0
34,0.162506,0,0
35,0.141471,0,0
36,0.237798,0,0
37,0.2878,0,0
38,0.353773,0,0
39,0.432317,0,0
40,0.466722,0,0
41,0.474419,0,0
42,0.658453,0,0
43,0.689089,0,0
44,0.796362,0,0
45,0.79672,0,0
46,0.840858,0,0
47,0.980255,0,0
48,0.960195,0,0
49,0.98267,0,0
50,0.976098,0,0
51,0.970825,0,0
52,0.985217,0,0
53,0.94584,0,0
54,0.851605,0,0
55,0.985916,0,0
56,0.732878,0,0
57,0.724369,0,0
58,0.628699,0,0
59,0.549764,0,0
60,0.464315,0,0
61,0.426787,0,0
62,0.28532,0,0
63,0.339167,0,0
64,0.19502,0,0
65,0.159148,0,0
66,0.044676,0,0
67,0.052904,0,0
68,0.008807,0,0
69,0.016652,0,0
70,0.008374,0,0
71,0.028877,0,0
72,0.046935,0,0
73,0.037199,0,0
74,0.047882,0,0
75,0.156348,0,0
76,0.198463,0,0
77,0.245375,0,0
78,0.349419,0,0
79,0.377689,0,0
80,0.51152,0,0
81,0.548822,0,0
82,0.651536,0,0
83,0.762005,0,0
84,0.687655,0,0
85,0.848342,0,0
86,0.904391,0,0
87,0.983481,0,0
88,0.943,0,0
89,0.914349,0,0
90,0.995942,0,0
91,0.987389,0,0
92,0.975097,0,0
93,0.960208,0,0
94,0.96925,0,0
95,0.872449,0,0
96,0.745874,0,0
97,0.68692,0,0
98,0.683462,0,0
99,0.5983,0,0
100,0.523014,0,0
101,0.387883,0,0
102,0.372456,0,0
103,0.234348,0,0
104,0.164053,0,0
105,0.200577,0,0
106,0.147621,0,0
107,0.088825,0,0
108,0.033901,0,0
109,0.013089,0,0
110,0.072469,0,0
111,0.060934,0,0
112,0.011239,0,0
113,0.065481,0,0
114,0.124264,0,0
115,0.139295,0,0
116,0.150202,0,0
117,0.242087,0,0
118,0.382178,0,0
119,0.365227,0,0
120,0.547156,0,0
121,0.534408,0,0
122,0.680992,0,0
123,0.709992,0,0
124,0.847159,0,0
125,0.84525,0,0
126,0.890032,0,0
127,0.917319,0,0
128,0.998671,0,0
129,0.978629,0,0
