,x,y,z
0,0.5,0,0
1,0.495744,0,0
2,0.503304,0,0
3,0.49902,0,0
4,0.494772,0,0
5,0.490561,0,0
6,0.486385,0,0
7,0.493802,0,0
8,0.501333,0,0
9,0.508979,0,0
10,0.516741,0,0
11,0.512342,0,0
12,0.520156,0,0
13,0.515728,0,0
14,0.523593,0,0
15,0.519136,0,0
16,0.514717,0,0
17,0.510336,0,0
18,0.518119,0,0
19,0.513708,0,0
20,0.521543,0,0
21,0.517103,0,0
22,0.524989,0,0
23,0.532996,0,0
24,0.541124,0,0
25,0.549377,0,0
26,0.5447,0,0
27,0.553007,0,0
28,0.5483,0,0
29,0.556662,0,0
30,0.565151,0,0
31,0.57377,0,0
32,0.582521,0,0
33,0.591404,0,0
34,0.600424,0,0
35,0.595313,0,0
36,0.604392,0,0
37,0.613609,0,0
38,0.622967,0,0
39,0.632467,0,0
40,0.642113,0,0
41,0.636647,0,0
42,0.631228,0,0
43,0.625855,0,0
44,0.635399,0,0
45,0.64509,0,0
46,0.654928,0,0
47,0.649353,0,0
48,0.659256,0,0
49,0.66931,0,0
50,0.679517,0,0
51,0.673733,0,0
52,0.667998,0,0
53,0.662312,0,0
54,0.656674,0,0
55,0.666688,0,0
56,0.661013,0,0
57,0.671094,0,0
58,0.681329,0,0
59,0.69172,0,0
60,0.702269,0,0
61,0.696291,0,0
62,0.70691,0,0
63,0.700892,0,0
64,0.711581,0,0
65,0.722433,0,0
66,0.716284,0,0
67,0.710187,0,0
68,0.721017,0,0
69,0.71488,0,0
70,0.708795,0,0
71,0.702761,0,0
72,0.696779,0,0
73,0.690848,0,0
74,0.701384,0,0
75,0.695413,0,0
76,0.689494,0,0
77,0.700009,0,0
78,0.69405,0,0
79,0.704635,0,0
80,0.715381,0,0
81,0.709291,0,0
82,0.703254,0,0
83,0.697267,0,0
84,0.707901,0,0
85,0.701875,0,0
86,0.712579,0,0
87,0.723447,0,0
88,0.73448,0,0
89,0.728228,0,0
90,0.739333,0,0
91,0.750609,0,0
92,0.762056,0,0
93,0.773678,0,0
94,0.785477,0,0
95,0.778791,0,0
96,0.790668,0,0
97,0.802726,0,0
98,0.795893,0,0
99,0.789118,0,0
100,0.801152,0,0
101,0.813371,0,0
102,0.825775,0,0
103,0.838368,0,0
104,0.851154,0,0
105,0.864135,0,0
106,0.856779,0,0
107,0.849486,0,0
108,0.842255,0,0
109,0.835085,0,0
110,0.847821,0,0
111,0.840604,0,0
112,0.833448,0,0
113,0.826354,0,0
114,0.81932,0,0
115,0.831815,0,0
116,0.8445,0,0
117,0.85738,0,0
118,0.870455,0,0
119,0.863046,0,0
120,0.876208,0,0
121,0.88957,0,0
122,0.881998,0,0
123,0.895449,0,0
124,0.887827,0,0
125,0.901367,0,0
126,0.893694,0,0
127,0.907323,0,0
128,0.92116,0,0
129,0.913319,0,0
130,0.927248,0,0
131,0.941389,0,0
132,0.933376,0,0
133,0.94761,0,0
134,0.962062,0,0
135,0.976734,0,0
136,0.99163,0,0
137,0.983189,0,0
138,0.974819,0,0
139,0.966522,0,0
140,0.958294,0,0
141,0.950137,0,0
142,0.964627,0,0
143,0.979338,0,0
144,0.994274,0,0
145,0.98581,0,0
146,0.999156,0,0
147,0.983892,0,0
148,0.992542,0,0
149,0.998883,0,0
150,0.99038,0,0
151,0.994516,0,0
152,0.996925,0,0
153,0.987871,0,0
154,0.996487,0,0
155,0.981183,0,0
156,0.989855,0,0
157,0.97445,0,0
158,0.95881,0,0
159,0.942931,0,0
160,0.92681,0,0
161,0.935945,0,0
162,0.919718,0,0
163,0.928913,0,0
