,x,y,z
0,0.5,0,0
1,0.536468,0,0
2,0.575597,0,0
3,0.531555,0,0
4,0.490884,0,0
5,0.526687,0,0
6,0.486388,0,0
7,0.521863,0,0
8,0.481933,0,0
9,0.445058,0,0
10,0.411005,0,0
11,0.440982,0,0
12,0.473146,0,0
13,0.436944,0,0
14,0.403511,0,0
15,0.432942,0,0
16,0.464519,0,0
17,0.4984,0,0
18,0.460265,0,0
19,0.425048,0,0
20,0.45605,0,0
21,0.421155,0,0
22,0.499851,0,0
23,0.920692,0,0
24,0.690666,0,0
25,0.967211,0,0
26,0.647707,0,0
27,0.292089,0,0
28,0.036318,0,0
29,0.252781,0,0
30,0.562965,0,0
31,0.895774,0,0
32,0.747143,0,0
33,0.850936,0,0
34,0.795251,0,0
35,0.415633,0,0
36,0.008326,0,0
37,0.466777,0,0
38,0.890149,0,0
39,0.718872,0,0
40,0.35781,0,0
41,0.024373,0,0
42,0.28355,0,0
43,0.012483,0,0
44,0.278354,0,0
45,0.590404,0,0
46,0.239171,0,0
47,0.085188,0,0
48,0.384728,0,0
49,0.661349,0,0
50,0.417838,0,0
51,0.691926,0,0
52,0.450645,0,0
53,0.722223,0,0
54,0.483152,0,0
55,0.564867,0,0
56,0.521647,0,0
57,0.559694,0,0
58,0.516869,0,0
59,0.554568,0,0
60,0.595016,0,0
61,0.638415,0,0
62,0.684979,0,0
63,0.734939,0,0
64,0.788544,0,0
65,0.846058,0,0
66,0.781322,0,0
67,0.721539,0,0
68,0.774166,0,0
69,0.830631,0,0
70,0.891215,0,0
71,0.823024,0,0
72,0.883053,0,0
73,0.94746,0,0
74,0.983435,0,0
75,0.90929,0,0
76,0.829737,0,0
77,0.919279,0,0
78,0.99803,0,0
79,0.929177,0,0
80,0.98889,0,0
81,0.913225,0,0
82,0.979833,0,0
83,0.948701,0,0
84,0.872022,0,0
85,0.789751,0,0
86,0.882353,0,0
87,0.800835,0,0
88,0.713372,0,0
89,0.619529,0,0
90,0.725155,0,0
91,0.632172,0,0
92,0.532407,0,0
93,0.644699,0,0
94,0.7484,0,0
95,0.657112,0,0
96,0.559166,0,0
97,0.454076,0,0
98,0.341321,0,0
99,0.220342,0,0
100,0.090539,0,0
101,0.23664,0,0
102,0.108026,0,0
103,0.029968,0,0
104,0.178028,0,0
105,0.336887,0,0
106,0.507332,0,0
107,0.315484,0,0
108,0.484369,0,0
109,0.294278,0,0
110,0.461616,0,0
111,0.273266,0,0
112,0.099328,0,0
113,0.252447,0,0
114,0.080102,0,0
115,0.231818,0,0
116,0.3946,0,0
117,0.211378,0,0
118,0.372669,0,0
119,0.545724,0,0
120,0.350939,0,0
121,0.522409,0,0
122,0.329408,0,0
123,0.499308,0,0
124,0.6816,0,0
125,0.877187,0,0
126,0.912959,0,0
127,0.850837,0,0
128,0.941232,0,0
129,0.824728,0,0
130,0.608595,0,0
131,0.798858,0,0
132,0.997002,0,0
133,0.773224,0,0
134,0.561032,0,0
135,0.365076,0,0
136,0.184113,0,0
137,0.343415,0,0
138,0.16411,0,0
139,0.321953,0,0
140,0.14429,0,0
141,0.300688,0,0
142,0.124652,0,0
143,0.279617,0,0
144,0.445886,0,0
145,0.25874,0,0
146,0.423485,0,0
147,0.238053,0,0
148,0.066809,0,0
149,0.217556,0,0
150,0.379298,0,0
151,0.552836,0,0
152,0.739032,0,0
153,0.938809,0,0
154,0.846843,0,0
155,0.911894,0,0
156,0.875721,0,0
157,0.647846,0,0
158,0.40335,0,0
159,0.141022,0,0
160,0.43629,0,0
161,0.176364,0,0
162,0.468928,0,0
163,0.211382,0,0
164,0.064948,0,0
165,0.24608,0,0
166,0.53331,0,0
167,0.28046,0,0
168,0.565059,0,0
169,0.827883,0,0
170,0.929404,0,0
171,0.705262,0,0
172,0.49827,0,0
173,0.680486,0,0
174,0.875992,0,0
175,0.914242,0,0
176,0.689176,0,0
177,0.447695,0,0
178,0.1886,0,0
179,0.089391,0,0
180,0.223507,0,0
181,0.051939,0,0
182,0.347475,0,0
183,0.664566,0,0
184,0.995214,0,0
185,0.621846,0,0
186,0.268207,0,0
187,0.579517,0,0
188,0.913533,0,0
189,0.537576,0,0
190,0.190385,0,0
191,0.496019,0,0
192,0.152008,0,0
193,0.454843,0,0
194,0.113982,0,0
195,0.414043,0,0
196,0.73599,0,0
197,0.373617,0,0
198,0.692616,0,0
199,0.333562,0,0
200,0.649639,0,0
201,0.988769,0,0
202,0.607055,0,0
203,0.94308,0,0
204,0.564862,0,0
205,0.215583,0,0
206,0.523055,0,0
207,0.176975,0,0
208,0.142625,0,0
209,0.13872,0,0
210,0.177952,0,0
211,0.100816,0,0
212,0.212956,0,0
213,0.063259,0,0
214,0.359621,0,0
215,0.026046,0,0
216,0.319693,0,0
217,0.010826,0,0
218,0.316056,0,0
219,0.597932,0,0
220,0.85824,0,0
221,0.62909,0,0
222,0.887014,0,0
223,0.874797,0,0
224,0.915524,0,0
