,x,y,z
0,0.5,0,0
1,0.532897,0,0
2,0.567949,0,0
3,0.542724,0,0
4,0.510006,0,0
5,0.525642,0,0
6,0.560178,0,0
7,0.596973,0,0
8,0.594763,0,0
9,0.592792,0,0
10,0.631696,0,0
11,0.67314,0,0
12,0.693417,0,0
13,0.668328,0,0
14,0.712137,0,0
15,0.758802,0,0
16,0.808511,0,0
17,0.861696,0,0
18,0.918376,0,0
19,0.978768,0,0
20,0.942796,0,0
21,0.885945,0,0
22,0.832507,0,0
23,0.782279,0,0
24,0.78653,0,0
25,0.838163,0,0
26,0.893171,0,0
27,0.9121,0,0
28,0.856997,0,0
29,0.805209,0,0
30,0.756538,0,0
31,0.717292,0,0
32,0.764283,0,0
33,0.814549,0,0
34,0.771349,0,0
35,0.809015,0,0
36,0.779004,0,0
37,0.732029,0,0
38,0.687876,0,0
39,0.697684,0,0
40,0.743499,0,0
41,0.792309,0,0
42,0.844307,0,0
43,0.899702,0,0
44,0.926141,0,0
45,0.870175,0,0
46,0.817579,0,0
47,0.775445,0,0
48,0.825355,0,0
49,0.775614,0,0
50,0.728884,0,0
51,0.684958,0,0
52,0.712666,0,0
53,0.759505,0,0
54,0.809409,0,0
55,0.798853,0,0
56,0.803772,0,0
57,0.856539,0,0
58,0.8668,0,0
59,0.814448,0,0
60,0.765246,0,0
61,0.738354,0,0
62,0.772575,0,0
63,0.725867,0,0
64,0.68197,0,0
65,0.640865,0,0
66,0.602254,0,0
67,0.632116,0,0
68,0.673673,0,0
69,0.653651,0,0
70,0.614225,0,0
71,0.577168,0,0
72,0.542338,0,0
73,0.5096,0,0
74,0.504396,0,0
75,0.53749,0,0
76,0.572745,0,0
77,0.610302,0,0
78,0.650309,0,0
79,0.692925,0,0
80,0.73832,0,0
81,0.786852,0,0
82,0.838612,0,0
83,0.893761,0,0
84,0.859682,0,0
85,0.887632,0,0
86,0.868155,0,0
87,0.881484,0,0
88,0.876651,0,0
89,0.823733,0,0
90,0.815615,0,0
91,0.86913,0,0
92,0.893709,0,0
93,0.862923,0,0
94,0.919491,0,0
95,0.969485,0,0
96,0.910858,0,0
97,0.855937,0,0
98,0.906591,0,0
99,0.96621,0,0
100,0.959611,0,0
101,0.971375,0,0
102,0.962007,0,0
103,0.910185,0,0
104,0.916547,0,0
105,0.917807,0,0
106,0.846781,0,0
107,0.824446,0,0
108,0.895462,0,0
109,0.955677,0,0
110,0.97507,0,0
111,0.916121,0,0
112,0.862888,0,0
113,0.919587,0,0
114,0.86926,0,0
115,0.816875,0,0
116,0.851142,0,0
117,0.907086,0,0
118,0.96669,0,0
119,0.961244,0,0
120,0.966989,0,0
121,0.967419,0,0
122,0.909872,0,0
123,0.889157,0,0
124,0.917613,0,0
125,0.878473,0,0
126,0.944912,0,0
127,0.990315,0,0
128,0.933168,0,0
129,0.863081,0,0
130,0.788291,0,0
131,0.845419,0,0
132,0.915016,0,0
133,0.878533,0,0
134,0.904317,0,0
135,0.970419,0,0
136,0.966434,0,0
137,0.909055,0,0
138,0.901066,0,0
139,0.957561,0,0
140,0.976826,0,0
141,0.940207,0,0
142,0.984166,0,0
143,0.917591,0,0
144,0.850399,0,0
145,0.919752,0,0
146,0.854588,0,0
147,0.908981,0,0
148,0.974746,0,0
149,0.939891,0,0
150,0.964635,0,0
151,0.947227,0,0
152,0.878089,0,0
153,0.80443,0,0
154,0.792702,0,0
155,0.865614,0,0
156,0.934141,0,0
157,0.977244,0,0
158,0.955164,0,0
159,0.980341,0,0
160,0.952328,0,0
161,0.980637,0,0
162,0.917258,0,0
163,0.84605,0,0
164,0.770181,0,0
165,0.809292,0,0
166,0.881105,0,0
167,0.948605,0,0
168,0.939468,0,0
169,0.938345,0,0
170,0.968807,0,0
171,0.963813,0,0
172,0.954391,0,0
173,0.917745,0,0
174,0.971148,0,0
175,0.961999,0,0
176,0.971261,0,0
177,0.962704,0,0
178,0.969336,0,0
179,0.909186,0,0
