,x,y,z
0,0.5,0,0
1,0.516148,0,0
2,0.532296,0,0
3,0.549318,0,0
4,0.566644,0,0
5,0.566172,0,0
6,0.54667,0,0
7,0.527504,0,0
8,0.509495,0,0
9,0.491486,0,0
10,0.506208,0,0
11,0.522061,0,0
12,0.514049,0,0
13,0.496205,0,0
14,0.493455,0,0
15,0.509163,0,0
16,0.518477,0,0
17,0.500796,0,0
18,0.483115,0,0
19,0.466696,0,0
20,0.450368,0,0
21,0.434883,0,0
22,0.419804,0,0
23,0.416533,0,0
24,0.429807,0,0
25,0.443234,0,0
26,0.457476,0,0
27,0.471718,0,0
28,0.458723,0,0
29,0.442693,0,0
30,0.427449,0,0
31,0.412645,0,0
32,0.408503,0,0
33,0.421535,0,0
34,0.434685,0,0
35,0.448667,0,0
36,0.46265,0,0
37,0.477516,0,0
38,0.492518,0,0
39,0.488134,0,0
40,0.471248,0,0
41,0.454813,0,0
42,0.439219,0,0
43,0.426301,0,0
44,0.440028,0,0
45,0.453756,0,0
46,0.443181,0,0
47,0.427729,0,0
48,0.441176,0,0
49,0.476022,0,0
50,0.55877,0,0
51,0.745119,0,0
52,0.914802,0,0
53,0.812947,0,0
54,0.711091,0,0
55,0.788564,0,0
56,0.911018,0,0
57,0.890657,0,0
58,0.74918,0,0
59,0.603182,0,0
60,0.445714,0,0
61,0.289326,0,0
62,0.17607,0,0
63,0.062815,0,0
64,0.109743,0,0
65,0.205593,0,0
66,0.322512,0,0
67,0.459861,0,0
68,0.599709,0,0
69,0.747077,0,0
70,0.894444,0,0
71,0.830554,0,0
72,0.76474,0,0
73,0.780814,0,0
74,0.826774,0,0
75,0.839242,0,0
76,0.814585,0,0
77,0.758957,0,0
78,0.590863,0,0
79,0.422768,0,0
80,0.242932,0,0
81,0.062577,0,0
82,0.150265,0,0
83,0.353267,0,0
84,0.549422,0,0
85,0.736891,0,0
86,0.876309,0,0
87,0.800467,0,0
88,0.724626,0,0
89,0.571123,0,0
90,0.411245,0,0
91,0.259511,0,0
92,0.111865,0,0
93,0.07113,0,0
94,0.185894,0,0
95,0.265658,0,0
96,0.145629,0,0
97,0.025601,0,0
98,0.117344,0,0
99,0.235072,0,0
100,0.36573,0,0
101,0.503906,0,0
102,0.532237,0,0
103,0.376711,0,0
104,0.231286,0,0
105,0.163102,0,0
106,0.094919,0,0
107,0.198896,0,0
108,0.331532,0,0
109,0.45809,0,0
110,0.580578,0,0
111,0.624626,0,0
112,0.516799,0,0
113,0.427817,0,0
114,0.549183,0,0
115,0.670549,0,0
116,0.603905,0,0
117,0.497065,0,0
118,0.51865,0,0
119,0.638905,0,0
120,0.689707,0,0
121,0.583847,0,0
122,0.484918,0,0
123,0.521101,0,0
124,0.557285,0,0
125,0.54974,0,0
126,0.530602,0,0
127,0.530611,0,0
128,0.547458,0,0
129,0.554503,0,0
130,0.53554,0,0
131,0.517126,0,0
132,0.533819,0,0
133,0.550512,0,0
134,0.568127,0,0
135,0.586037,0,0
136,0.604599,0,0
137,0.623816,0,0
138,0.64337,0,0
139,0.663988,0,0
140,0.684607,0,0
141,0.706702,0,0
142,0.728824,0,0
143,0.752115,0,0
144,0.775851,0,0
145,0.800392,0,0
146,0.82586,0,0
147,0.840127,0,0
148,0.811462,0,0
149,0.782797,0,0
150,0.756212,0,0
151,0.729741,0,0
152,0.737622,0,0
153,0.760926,0,0
154,0.784963,0,0
155,0.809965,0,0
156,0.835285,0,0
157,0.862111,0,0
158,0.888938,0,0
159,0.863583,0,0
160,0.833388,0,0
161,0.840481,0,0
162,0.867062,0,0
163,0.894415,0,0
164,0.922935,0,0
165,0.949691,0,0
166,0.965621,0,0
167,0.98155,0,0
168,0.954488,0,0
169,0.921656,0,0
170,0.887332,0,0
171,0.852106,0,0
172,0.844208,0,0
173,0.883857,0,0
174,0.922997,0,0
175,0.957868,0,0
176,0.992739,0,0
177,0.972168,0,0
178,0.94168,0,0
179,0.944775,0,0
180,0.971216,0,0
181,0.977781,0,0
182,0.944277,0,0
183,0.915384,0,0
184,0.944878,0,0
185,0.974372,0,0
186,0.9686,0,0
187,0.954815,0,0
188,0.929806,0,0
189,0.895853,0,0
190,0.861161,0,0
191,0.824731,0,0
192,0.791382,0,0
193,0.832386,0,0
194,0.87339,0,0
195,0.854147,0,0
196,0.81805,0,0
197,0.780577,0,0
198,0.741849,0,0
199,0.702372,0,0
200,0.660819,0,0
201,0.619826,0,0
202,0.666598,0,0
203,0.713369,0,0
204,0.694358,0,0
205,0.653185,0,0
206,0.610541,0,0
207,0.566366,0,0
208,0.543907,0,0
209,0.59363,0,0
210,0.643353,0,0
211,0.689375,0,0
212,0.735294,0,0
213,0.719515,0,0
214,0.679093,0,0
215,0.637325,0,0
216,0.593955,0,0
217,0.549958,0,0
218,0.503425,0,0
219,0.456891,0,0
220,0.407168,0,0
221,0.35724,0,0
222,0.304832,0,0
223,0.251262,0,0
224,0.196041,0,0
225,0.138564,0,0
226,0.101178,0,0
227,0.165871,0,0
228,0.230565,0,0
229,0.185038,0,0
230,0.128088,0,0
231,0.085638,0,0
232,0.051074,0,0
233,0.055496,0,0
234,0.121057,0,0
235,0.187245,0,0
236,0.257587,0,0
237,0.32793,0,0
238,0.40275,0,0
239,0.478223,0,0
240,0.455146,0,0
241,0.370196,0,0
242,0.342103,0,0
243,0.416886,0,0
244,0.476154,0,0
245,0.391981,0,0
246,0.307809,0,0
247,0.356464,0,0
248,0.430561,0,0
249,0.413169,0,0
250,0.329768,0,0
251,0.248424,0,0
252,0.171405,0,0
253,0.103679,0,0
254,0.171481,0,0
255,0.239282,0,0
256,0.190951,0,0
257,0.114637,0,0
258,0.116881,0,0
259,0.184061,0,0
260,0.252657,0,0
261,0.324737,0,0
262,0.392105,0,0
263,0.310974,0,0
264,0.229843,0,0
265,0.266543,0,0
266,0.337962,0,0
267,0.41206,0,0
268,0.488688,0,0
269,0.523671,0,0
270,0.43742,0,0
271,0.351169,0,0
272,0.426664,0,0
273,0.50259,0,0
274,0.459255,0,0
275,0.373794,0,0
276,0.365566,0,0
277,0.440798,0,0
278,0.517249,0,0
279,0.597968,0,0
280,0.678687,0,0
281,0.765081,0,0
282,0.851686,0,0
283,0.888363,0,0
284,0.904203,0,0
285,0.900658,0,0
286,0.87315,0,0
287,0.858396,0,0
288,0.898423,0,0
289,0.93845,0,0
290,0.89323,0,0
291,0.841642,0,0
292,0.760402,0,0
293,0.664699,0,0
