,x,y,z
0,0,0.00,0
1,0,-13.24,0
2,0,-26.24,0
3,0,-38.78,0
4,0,-50.64,0
5,0,-61.60,0
6,0,-71.49,0
7,0,-80.11,0
8,0,-87.33,0
9,0,-93.01,0
10,0,-97.05,0
11,0,-99.39,0
12,0,-99.98,0
13,0,-98.80,0
14,0,-95.89,0
15,0,-91.30,0
16,0,-85.09,0
17,0,-77.39,0
18,0,-68.33,0
19,0,-58.06,0
20,0,-46.78,0
21,0,-34.67,0
22,0,-21.95,0
23,0,-8.84,0
24,0,4.42,0
25,0,17.60,0
26,0,30.48,0
27,0,42.81,0
28,0,54.40,0
29,0,65.02,0
30,0,74.51,0
31,0,82.68,0
32,0,89.40,0
33,0,94.54,0
34,0,98.02,0
35,0,99.78,0
36,0,99.78,0
37,0,98.03,0
38,0,94.55,0
39,0,89.40,0
40,0,82.69,0
41,0,74.52,0
42,0,65.04,0
43,0,54.41,0
44,0,42.83,0
45,0,30.49,0
46,0,17.62,0
47,0,4.43,0
48,0,-8.83,0
49,0,-21.93,0
50,0,-34.65,0
51,0,-46.76,0
52,0,-58.05,0
53,0,-68.32,0
54,0,-77.38,0
55,0,-85.08,0
56,0,-91.29,0
57,0,-95.89,0
58,0,-98.80,0
59,0,-99.98,0
60,0,-99.39,0
61,0,-97.06,0
62,0,-93.02,0
63,0,-87.34,0
64,0,-80.12,0
65,0,-71.50,0
66,0,-61.62,0
67,0,-50.65,0
68,0,-38.79,0
69,0,-26.25,0
70,0,-13.25,0
71,0,-0.02,0
72,0,13.22,0
73,0,26.22,0
74,0,38.76,0
75,0,50.62,0
76,0,61.59,0
77,0,71.48,0
78,0,80.10,0
79,0,87.32,0
80,0,93.00,0
81,0,97.05,0
82,0,99.39,0
83,0,99.98,0
84,0,98.81,0
85,0,95.90,0
86,0,91.30,0
87,0,85.10,0
88,0,77.40,0
89,0,68.34,0
90,0,58.08,0
91,0,46.79,0
92,0,34.68,0
93,0,21.96,0
94,0,8.86,0
95,0,-4.40,0
96,0,-17.59,0
97,0,-30.46,0
98,0,-42.80,0
