,x,y,z
0,0,-1.37,0
1,0,-5.89,0
2,0,-9.25,0
3,0,-5.61,0
4,0,-7.83,0
5,0,-7.46,0
6,0,-6.95,0
7,0,-7.85,0
8,0,-9.58,0
9,0,-10.39,0
10,0,-10.37,0
11,0,-10.93,0
12,0,-12.38,0
13,0,-11.59,0
14,0,-13.50,0
15,0,-15.31,0
16,0,-12.52,0
17,0,-11.31,0
18,0,-6.83,0
19,0,-5.71,0
20,0,-6.64,0
21,0,-8.94,0
22,0,-9.52,0
23,0,-6.75,0
24,0,-4.67,0
25,0,-4.64,0
26,0,-5.00,0
27,0,-6.96,0
28,0,-5.05,0
29,0,-5.64,0
30,0,-10.79,0
31,0,-13.99,0
32,0,-16.93,0
33,0,-19.77,0
34,0,-16.91,0
35,0,-17.06,0
36,0,-17.89,0
37,0,-15.91,0
38,0,-16.20,0
39,0,-18.73,0
40,0,-17.70,0
41,0,-18.35,0
42,0,-17.85,0
43,0,-17.35,0
44,0,-15.87,0
45,0,-13.18,0
46,0,-13.27,0
47,0,-11.58,0
48,0,-10.53,0
49,0,-15.17,0
50,0,-12.83,0
51,0,-9.76,0
52,0,-7.81,0
53,0,-5.31,0
54,0,-3.08,0
55,0,-3.14,0
56,0,-3.45,0
57,0,-4.96,0
58,0,-3.34,0
59,0,-4.03,0
60,0,-6.42,0
61,0,-7.93,0
62,0,-6.93,0
63,0,-8.64,0
64,0,-8.23,0
65,0,-7.93,0
66,0,-9.45,0
67,0,-9.86,0
68,0,-11.30,0
69,0,-13.00,0
70,0,-15.77,0
71,0,-11.23,0
72,0,-11.74,0
73,0,-13.81,0
74,0,-11.41,0
75,0,-7.58,0
76,0,-5.41,0
77,0,-3.86,0
78,0,-2.64,0
79,0,-3.10,0
80,0,-2.77,0
81,0,-1.52,0
82,0,1.57,0
83,0,-0.78,0
84,0,-0.18,0
85,0,0.51,0
86,0,-5.11,0
87,0,-6.52,0
88,0,-5.46,0
89,0,-8.99,0
90,0,-9.86,0
91,0,-9.33,0
92,0,-9.79,0
93,0,-9.31,0
94,0,-10.73,0
95,0,-6.43,0
96,0,-7.78,0
97,0,-5.10,0
98,0,-2.76,0
